,school_name,city,state,website,directory
0,penn manor high school,millersville,pennsylvania,https://highschool.pennmanor.net/,https://www.pennmanor.net/directory/
1,purchase line juniorsenior high school,commodore,pennsylvania,https://highschool.plsd.k12.pa.us/,https://highschool.plsd.k12.pa.us/apps/staff/
2,pearl river central high school,carriere,mississippi,https://highschool.prc.k12.ms.us/,https://highschool.prc.k12.ms.us/administration
3,port townsend high school,port townsend,washington,https://highschool.ptschools.org/,https://highschool.ptschools.org/staff_directory
4,tyler legacy high school,oro grande,california,https://highschool.riversideprep.net/,https://www.tylerisd.org/o/legacy/staff
5,massabesic high school,waterboro,maine,https://highschool.rsu57.org/,https://highschool.rsu57.org/o/mhs/staff
6,somersworth high school,somersworth,new hampshire,https://highschool.sau56.org/,https://hs-sau56.ss20.sharpschool.com/resources/staff
7,south haven high school,south haven,michigan,https://highschool.shps.org/,https://shpsmohr.ss4.sharpschool.com/staff_
8,snyder high school,snyder,texas,https://highschool.snyderisd.net/,https://highschool.snyderisd.net/o/shs/staff
9,st clair high school,st clair,missouri,https://highschool.stcmo.org/,https://highschool.stcmo.org/staff-directory
10,williamsburg jr sr high school,williamsburg,iowa,https://highschool.williamsburg.k12.ia.us/,https://highschool.williamsburg.k12.ia.us/building_information/staff_directory
11,hillcrest high school,country club hills,illinois,https://hillcrest.bhsd228.com/,https://hillcrest.bhsd228.com/
12,hilltop christian school,fuquay varina,north carolina,https://hilltopchristianschool.com/,https://hilltopchristianschool.com/staff/
13,hillview high continuation,tustin,california,https://hillview.tustin.k12.ca.us/,https://www.cde.ca.gov/schooldirectory/details?cdscode=30736433032919
14,hillwood comp high school,nashville,tennessee,https://hillwood.mnps.org/,https://hillwood.mnps.org/our_school/directory
15,hingham high,hingham,massachusetts,https://hinghamschools.org/hingham-high-school/,https://hinghamschools.org/hingham-high-school/teachers/
16,hinkley high school,aurora,colorado,https://hinkley.aurorak12.org/,https://aurorak12.org/contact-us/directories/
17,hitchcock high school,hitchcock,texas,https://hitchcockhighschool.hitchcockisd.org/,https://hitchcockhighschool.hitchcockisd.org/about-us/faculty-staff
18,hardee junior high school,wauchula,florida,https://hjh.hardee.k12.fl.us/,https://www.hardee.k12.fl.us/
19,houghton lake high school,houghton lake,michigan,https://hlcsk12.net/,https://hlcsk12.net/our-district/staff-directory/
20,horn lake high school,horn lake,mississippi,https://hlh.desotocountyschools.org/,https://hlh.desotocountyschools.org/staff
21,hopkinton high school,contoocook,new hampshire,https://hmhs.hopkintonschools.org/en,https://hmhs.hopkintonschools.org/en-US/staff
22,hialeah miami lakes senior high school,hialeah,florida,https://hmltrojans.org/,https://hmltrojans.org/m/staff/
23,hodgson paul m vocational technical high school,newark,delaware,https://hodgson.nccvt.k12.de.us/,https://nccvt-hodgson.edlioschool.com/apps/staff/
24,hodgson vocational technical hs,newark,delaware,https://hodgson.nccvt.k12.de.us/,https://nccvt-hodgson.edlioschool.com/apps/staff/
25,john t hoggard high school,wilmington,north carolina,https://hoggard.nhcs.net/,https://hoggard.nhcs.net/faculty-staff
26,howard high school,ellicott city,california,https://hohs.hcpss.org/,https://hohs.hcpss.org/school-staff
27,oliver wendell holmes junior high school,davis,california,https://holmes.djusd.net/,https://www.cde.ca.gov/schooldirectory/details?cdscode=57726786060396
28,gateway charter high school,fort myers,florida,https://home.gatewaycharterhigh.org/,https://home.gatewaycharterhigh.org/apps/staff/
29,aitkin secondary school,aitkin,minnesota,https://home.isd1.org/high-school.html,https://home.isd1.org/staff-directory.html
30,polo community high school,polo,illinois,https://home.poloschools.net,https://www.poloschools.net/staff
31,hoover high school,des moines,iowa,https://hoover.dmschools.org/,https://hoover.dmschools.org/staff-directory/
32,hope,buena park,california,https://hope.auhsd.us/,https://hope.auhsd.us/Hope/Department/12100-AdministrativeTeam
33,hopkinsville high school,hopkinsville,kentucky,https://hopkinsvillehigh.christian.kyschools.us/,https://hopkinsvillehigh.christian.kyschools.us/staff
34,horizon christian school,hood river,oregon,https://horizonchristianschool.org/,https://horizonchristianschool.org/faculty-staff-board/
35,horizon christian school,indianapolis,indiana,https://horizonindy.org/school/,https://horizonindy.org/school/about/staff/
36,horizonte instruction and training center,salt lake city,utah,https://horizonte.slcschools.org/,http://horizonte.slcschools.org/our-school/administration-staff-directory
37,hornell senior high school,hornell,new york,https://hornellcityschools.com/junior-senior-high-school/,https://ny50000160.schoolwires.net/Page/1044
38,houston high school,houston,missouri,https://houstonr1mo.sites.thrillshare.com/page/high-school,https://www.houston.k12.mo.us/staff
39,the howard school,chattanooga,tennessee,https://howard.hcde.org/,https://howard.hcde.org/directory
40,howard high school of technology,wilmington,delaware,https://howard.nccvt.k12.de.us/,https://howard.nccvt.k12.de.us/apps/pages/index.jsp?uREC_ID=1826668&type=d&pREC_ID=2180443
41,dr howard fuller collegiate academy,milwaukee,wisconsin,https://howardfullerca.org/,https://howardfullerca.org/parents-2/staff-directory/
42,harlem prep charter school,new york,new york,https://hphs.democracyprep.org/,https://www.schools.nyc.gov/schools/M708
43,highland park high school,topeka,kansas,https://hphs.topekapublicschools.net/,https://hphs.topekapublicschools.net/staff
44,huntington park inst of applied medicine hpiam,huntington park,california,https://hpiam.marquezhs.net/,https://hpiam.marquezhs.net/apps/staff/
45,linda esperanza marquez high a hntngtn park inst of appl med,huntington park,california,https://hpiam.marquezhs.net/,https://hpiam.marquezhs.net/apps/staff/
46,south tama county high school,tama,iowa,https://hs-southtama.schoolblocks.com/,https://hs.s-tama.k12.ia.us/en-US/staff
47,amelia county high school,amelia court house,virginia,https://hs.amelia.k12.va.us/,https://hs.amelia.k12.va.us/a_c_h_s_staff_directory
48,blooming grove high school,blooming grove,texas,https://hs.bgisd.org/,https://hs.bgisd.org/apps/staff/
49,bluffton high school,bluffton,indiana,https://hs.bhmsd.org/,https://www.bhmsd.org/staff
