,school_name,city,state,website,directory
0,omak high school,omak,washington,https://www.omaksd.org/schools/omakpioneers/index,https://www.omaksd.org/about-us/staff-directory
1,onalaska jrsr high school,onalaska,texas,https://www.onalaskaisd.net/vnews/display.v/SEC/JSHS,https://www.onalaskaisd.net/vnews/display.v/SEC/JSHS%7CStaff
2,the oneal school,southern pines,north carolina,https://www.onealschool.org/,https://www.onealschool.org/quicklinks/faculty-directory
3,oneida senior high school,oneida,new york,https://www.oneidacsd.org/cms/One.aspx?portalId=315640&pageId=8135014,http://www.oneidacsd.org/staff_directory
4,oneida high school,oneida,tennessee,https://www.oneidaschools.org/,https://www.oneidaschools.org/staff
5,onslow early college,jacksonville,north carolina,https://www.onslow.k12.nc.us/onslowearlycollegehs,https://www.onslow.k12.nc.us/domain/520
6,richlands high school,richlands,north carolina,https://www.onslow.k12.nc.us/richlandshs,https://www.onslow.k12.nc.us/domain/505
7,southwest high school,jacksonville,north carolina,https://www.onslow.k12.nc.us/southwesths,https://www.onslow.k12.nc.us/domain/508
8,onsted community high school,onsted,michigan,https://www.onstedschools.us/our-schools/high-school/,https://www.onstedschools.us/our-schools/high-school/ohs-staff-directory/
9,ontario high school,ontario,ohio,https://www.ontarioschools.org/ontariohighschool_home.aspx,https://www.ontarioschools.org/Schools.aspx
10,benson magnet high school,omaha,nebraska,https://www.ops.org/benson,https://www.ops.org/domain/294
11,orchard park high school,orchard park,new york,https://www.opschools.org/highschool,https://www.opschools.org/domain/18
12,ogallala high school,ogallala,nebraska,https://www.opsd.org/,https://www.opsd.org/
13,old redford academy high school,detroit,michigan,https://www.oradistrict.org/our-schools/high-school,https://www.zoominfo.com/pic/old-redford-academy/104252849
14,orange high school,orange,new jersey,https://www.orange.k12.nj.us/domain/83,https://www.orange.k12.nj.us/site/Default.aspx?PageType=1&SiteID=83&ChannelID=137&DirectoryType=6
15,orange high school,orange,california,https://www.orangehighschool.org/,https://www.orangehighschool.org/about/faculty-staff
16,richland continuation high school,orange,california,https://www.orangeusd.org/richland-continuation-high-school,https://www.orangeusd.org/richland-continuation-high-school
17,orangeville high school,orangeville,illinois,https://www.orangevillecusd.com,https://www.orangevillecusd.com/staff
18,orangewood christian school,maitland,florida,https://www.orangewoodchristian.org/,https://www.orangewoodchristian.org/about/faculty-n-staff.cfm
19,the pharr oratory of st philip neri school system,pharr,texas,https://www.oratoryschools.org/,https://www.oratoryschools.org/personnel
20,orchard view high school,muskegon,michigan,https://www.orchardview.org/schools/high-school/,https://www.orchardview.org/schools/high-school/staff-directory/
21,orcutt academy charter,orcutt,california,https://www.orcuttschools.net/oahs/,https://www.orcuttschools.net/oahs/staff-directory/
22,ord high school,ord,nebraska,https://www.ordps.org/,https://www.ordps.org/o/ord-public-schools/staff
